catalog_products(2)
Id,fieldType,Tittle,Link,description,image_link,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,availability,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_49bf8865-970f-6af8-ea45-b4546791695e,Product,'Ice cream is cheaper than therapy' Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/ice-cream-is-cheaper-than-therapy-clear-vinyl-sticker,<p>Printed professionally on Vinyl with a clear backround.</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>,b09bd3_9ba20ae46c13468eae20de21b2226156~mv2.jpg;b09bd3_0a1516e0daef436ca514cb6601ffe0fd~mv2.jpg;b09bd3_45bf89d68fb3448c8b05b94a5e1a480b~mv2.jpg,All Stickers;New Items;WHOLESALE,,,3,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4e33ec1e-9510-adf9-f03c-a8547e8052e3,Product,That B*tch Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/that-b-tch-clear-vinyl-sticker,<p>Printed professionally on Vinyl with a clear backround.</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>,b09bd3_2555c91ebdc3433796c6c29023be1a6e~mv2.jpg;b09bd3_63c97160ce07400e96b01be2026abc96~mv2.jpg;b09bd3_a5c98f21cee241ae955a886e3871c76b~mv2.jpg,All Stickers;New Items;WHOLESALE,,,3,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d8c10991-953b-d470-8af4-6a97457d6dd6,Product,When life gives you pumpkins Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/when-life-givesyou-pumpkins-clear-vinyl-sticker,<p>Printed professionally on Vinyl with a clear backround.</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>,b09bd3_edc0949b83c24b33b33bbfb9d786ad8c~mv2.jpg;b09bd3_c293540be57e44f5aff96ec59d999912~mv2.jpg,All Stickers;New Items;WHOLESALE,,,3,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cdfc2ba2-27ba-0e5e-4b24-8612d9fcf680,Product,Ice Pop Holographic Sticker,https://www.kateandkrisshop.com/product-page/ice-pop-holographic-sticker,<p>Printed professionally on Vinyl with a clear backround.</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>,b09bd3_6452c1c914884043931e98f017af3447~mv2.jpg;b09bd3_5a90f925e42f49feb8346da486f276b2~mv2.jpg,All Stickers;New Items;WHOLESALE,,,3,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f552337-ea29-c8b4-6f5c-472252a663ee,Product,Space Buns Holographic Sticker,https://www.kateandkrisshop.com/product-page/space-buns-holographic-sticker,<p>Printed professionally on Vinyl with a clear backround.</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>,b09bd3_974ea6e3abf74c029cde4b779dc51351~mv2.jpg;b09bd3_9eb8185ec9bd4c47b9ce79b64f623198~mv2.jpg;b09bd3_3242de0f68ef45f3b38fbee039264972~mv2.jpg,All Stickers;New Items;WHOLESALE,,,3,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6444b5cc-84f7-fedc-38ec-fae609e98cf5,Product,"""Boo you whore"" Ghost Clear Vinyl Sticker",https://www.kateandkrisshop.com/product-page/ghost-clear-vinyl-sticker,<p>Printed professionally on Vinyl with a clear backround.</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>,b09bd3_2017bdba8f334ec5a8af9962ce1a91f1~mv2.jpg;b09bd3_d4e0b4891e914500b69f1fe1b1bed33a~mv2.jpg;b09bd3_c6b61a48b5194c5f90a8fd85f805aea2~mv2.jpg,All Stickers;New Items;WHOLESALE,,,3,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_02c26b35-2990-6050-f3d8-01f54204dc64,Product,Birthday Cake Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/birthday-cake-clear-vinyl-sticker,<p>Printed professionally on Vinyl with a clear backround.</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>,b09bd3_25d5c246a1204613bd0d05b1cacbcab8~mv2.jpg;b09bd3_d45613e48f3d4c9c9abff51978eea2ce~mv2.jpg;b09bd3_1ee1d95274234d08bd5315a7817c4d1b~mv2.jpg,All Stickers;New Items;WHOLESALE,,,3,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9f85a417-7ed4-544a-6ed7-296fd93e7dfc,Product,Pumpkin Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/pumpkin-clear-vinyl-sticker,<p>Printed professionally on Vinyl with a clear backround.</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>,b09bd3_416e659f7c0e412da4f53c6293acccba~mv2.jpg;b09bd3_6868c6226a20448ab1ecdb5e8f54db96~mv2.jpg;b09bd3_3aef81572d5f465dba976bcebdfd0ab5~mv2.jpg,All Stickers;New Items;WHOLESALE,,,3,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_afcf1816-8614-a2e1-2766-8a4e2c56ae55,Product,Rainbow Cloud Notepad,https://www.kateandkrisshop.com/product-page/rainbow-cloud-notepad-1,<p>Rainbow Cloud Notepad</p><p>Profesionally Printed<br>5.5” X&nbsp; 8.5”</p><p>50 sheets</p>,b09bd3_0d33a9ee35204093bed9192ddbb4e980~mv2.jpg;b09bd3_918de6ed89cf4736aaf45dc9218f7ff8~mv2.jpg;b09bd3_2df59009bb514e9f8a8c65455e47bed4~mv2.jpg,New Items;Stationary;Notepads;WHOLESALE,,,12,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_670869ac-f13e-856e-3a91-ad0bf48f99c4,Product,Ice Cream Cone Keychain,https://www.kateandkrisshop.com/product-page/ice-cream-cone-keychain-1,<p>Made out of Polymer Clay &amp; hand painted<br>Stainless Steal Chain &amp; lightweight<br>Hand made with ♡</p>,b09bd3_08e0a6872f9c483f9b97e203b2aaa335~mv2.jpg;b09bd3_668ef94dbb1d48bcac8af857debea877~mv2.jpg,Keychains;New Items,,,12,,true,PERCENT,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
